76	P_7290018989357	7290018989357	7290018989357	search	[A16, A160510, categories, A, A1605]	DICT10	LABEL_ONLY	ממרח שום מוקפא
77	P_7290118424987	7290118424987	7290118424987	search	[A0707, A1611, A16, A070702, categories, A161104, A, A07]	DICT10	LABEL_ONLY	מקלוני ירקות כרובית
78	P_7296073706489	7296073706489	7296073706489	category		DICT8	LABEL_ONLY	מקרוני 500 גרם MANTANINO
79	P_7296073675167	7296073675167	7296073675167	search	[A51, F10, categories, A5101, F100202, A0112, A280501, A011201, A510102, F, A2805, A28, A, F1002, A01]	DICT11	LABEL_ONLY	משקה בריסטה סויה
80	P_7290110117818	7290110117818	7290110117818	category		DICT7	LABEL_ONLY	משקה מוגז אננס ונענע
81	P_4125578	4125578	4125578	search	[A011201, F10, F, A2805, categories, A28, A, F100202, A0112, F1002, A280501, A01]	DICT14	LABEL_ONLY	משקה סויה
82	P_5411188115472	5411188115472	5411188115472	search	[A011201, F, A2803, categories, A28, A, A0112, F0504, F05, A280305, A01, F050401]	DICT11	LABEL_ONLY	משקה סויה אלפרו
83	P_4125585	4125585	4125585	search	[A011201, F10, F, A2805, categories, A28, A, F100202, A0112, F1002, A280501, A01]	DICT14	LABEL_ONLY	משקה סויה בטעם וניל
84	P_7290119385577	7290119385577	7290119385577	search	[A011201, F, A2803, categories, A28, A, A0112, F0504, F05, A280305, A01, F050401]	DICT14	LABEL_ONLY	משקה סויה בטעם וניל
85	P_4130794	4130794	4130794	search	[A011201, F10, F, A2805, categories, A28, A, F100202, A0112, F1002, A280501, A01]	DICT14	LABEL_ONLY	משקה סויה במתיקות מופחתת
86	P_7290119385553	7290119385553	7290119385553	search	[A011201, F, A2803, categories, A28, A, A0112, F0504, F05, A280305, A01, F050401]	DICT13	LABEL_ONLY	משקה סויה בריסטה לל"ס
87	P_4132552	4132552	4132552	search	[A011201, F10, F, A2805, categories, A28, A, F100202, A0112, F1002, A280501, A01]	DICT13	LABEL_ONLY	משקה סויה לייט
88	P_5411188543398	5411188543398	5411188543398	search	[A011201, F, A2803, categories, A28, A, A0112, F0504, F05, A280305, A01, F050401]	DICT11	LABEL_ONLY	משקה סויה לל"ס אלפרו
89	P_7290110324926	7290110324926	7290110324926	search	[A011201, F10, F, A2805, categories, A28, A, F100202, A0112, F1002, A280501, A01]	DICT9	LABEL_ONLY	משקה סויה ללא תוספת סוכר
90	P_8263658	8263658	8263658	search	[A011201, F, A2803, categories, A28, A, A0112, F0504, F05, A280305, A01, F050401]	DICT9	LABEL_ONLY	משקה סויה ללא תוספת סוכר
91	P_7290110117832	7290110117832	7290110117832	category		DICT6	LABEL_ONLY	נורדיק זירו פירות יער
92	P_7290110117856	7290110117856	7290110117856	category		DICT6	LABEL_ONLY	נורדיק מיסט אפרסק זירו
93	P_7290110117795	7290110117795	7290110117795	category		DICT7	LABEL_ONLY	נורדיק מיסט לימונדה
94	P_7290110117771	7290110117771	7290110117771	category		DICT7	LABEL_ONLY	נורדיק מיסט תפוח אפרסק
95	P_8423207208697	8423207208697	8423207208697	category		DICT24	LABEL_ONLY	סלים דליס לילדים שוק.לבן
96	P_8423207206488	8423207206488	8423207206488	category		DICT22	LABEL_ONLY	סלים דליס מצופה שוקולד
97	P_7290014525313	7290014525313	7290014525313	category		DICT11	LABEL_ONLY	סלים דליס קריספי שוקולד
98	P_8423207207362	8423207207362	8423207207362	category		DICT23	LABEL_ONLY	סלים דליס שוקולד לבן
99	P_8423207206495	8423207206495	8423207206495	category		DICT20	LABEL_ONLY	סלים דליס שוקולד מריר
100	P_8423207210928	8423207210928	8423207210928	category		DICT19	LABEL_ONLY	סלים טופינג אגוזי לוז
101	P_7296073706502	7296073706502	7296073706502	category		DICT8	LABEL_ONLY	ספגטי מס' 5 MANTANINO
102	P_7296073706519	7296073706519	7296073706519	category		DICT8	LABEL_ONLY	ספגטיני מס' 3 MANTANINO
103	P_7296073320388	7296073320388	7296073320388	search	[A04, A0409, A0410, categories, A041001, A, A040901]	DICT5	LABEL_ONLY	עלי בייבי
104	P_7296073118770	7296073118770	7296073118770	search	[A04, A0409, A0410, categories, A041001, A, A040901]	DICT5	LABEL_ONLY	עלי בייבי שטופים לאכילה
105	P_7296073528623	7296073528623	7296073528623	search	[A04, A0409, A0410, categories, A041001, A, A040901]	NONE	NONE	עלי מיקרו בזיל
106	P_7296073528647	7296073528647	7296073528647	search	[A04, A0409, A0410, categories, A041001, A, A040901]	NONE	NONE	עלי מיקרו רוקט
107	P_7296073320395	7296073320395	7296073320395	search	[A04, A0409, A0410, categories, A041001, A, A040901, A040904]	DICT5	LABEL_ONLY	עלי תרד בייבי
108	P_7296073180210	7296073180210	7296073180210	search	[A04, A0409, A0410, categories, A041001, A, A040901, A040904]	DICT5	LABEL_ONLY	עלי תרד בייבי שטופים
109	P_104768	104768	104768	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	עלי תרד מוקפאים
110	P_104713	104713	104713	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	פול ירוק מוקפא
111	P_7296073706328	7296073706328	7296073706328	search	[A2506, A04, A25, A040202, categories, A250607, A0402, A]	DICT8	LABEL_ONLY	פול מטוגן בקליפה
112	P_7296073691372	7296073691372	7296073691372	search	[A160501, A16, categories, A, A1605]	DICT8	LABEL_ONLY	פולי סויה קלופים מוקפאים
113	P_7296073746546	7296073746546	7296073746546	search	[A160501, A16, categories, A, A1605]	DICT9	LABEL_ONLY	פולי סויה שלמים מוקפאים
114	P_7296073691365	7296073691365	7296073691365	search	[A160501, A16, categories, A, A1605]	DICT8	LABEL_ONLY	פולי סויה שלמים מוקפאים
115	P_7296073691358	7296073691358	7296073691358	search	[A160501, A16, categories, A, A1605]	DICT8	LABEL_ONLY	פולי סויה שלמים מוקפאים
116	P_7290018989371	7290018989371	7290018989371	search	[A16, A160510, categories, A, A1605]	DICT10	LABEL_ONLY	פטרוזיליה קצוצה מוקפאת
117	P_7296073677765	7296073677765	7296073677765	category		DICT8	LABEL_ONLY	פירורי לחם מוזהבים
118	P_7296073706472	7296073706472	7296073706472	category		DICT8	LABEL_ONLY	פסטה פוזילי MANTANINO
119	P_8076809523769	8076809523769	8076809523769	category		DICT8	LABEL_ONLY	פסטה פלייה פיאנו ברילה
120	P_7296073706496	7296073706496	7296073706496	category		DICT8	LABEL_ONLY	פסטה פנה ריגטה MANTANINO
121	P_8076809523707	8076809523707	8076809523707	category		DICT8	LABEL_ONLY	פסטה קסטלנה ברילה
122	P_8076809514774	8076809514774	8076809514774	category		DICT11	LABEL_ONLY	פפרדלה פסטה ביצים ברילה
123	P_7296073725954	7296073725954	7296073725954	category		DICT5	LABEL_ONLY	פתיתים אפויים אורז
124	P_7296073725947	7296073725947	7296073725947	category		DICT5	LABEL_ONLY	פתיתים אפויים קוסקוס
125	P_7290018400173	7290018400173	7290018400173	search	[A160501, A510102, A51, A16, categories, A, A5101, A1605]	DICT5	LABEL_ONLY	צמד ברוקולי וכרובית
126	P_8830690	8830690	8830690	search		NONE	NONE	קטניות מן הטבע
127	P_7290113194625	7290113194625	7290113194625	search		NONE	NONE	קטניות מן הטבע
128	P_7290113194601	7290113194601	7290113194601	search		NONE	NONE	קטניות מן הטבע
129	P_7290113195851	7290113195851	7290113195851	search		NONE	NONE	קטניות מן הטבע
130	P_78212	78212	78212	search	[A22, categories, A, A220816, A2208]	DICT10	LABEL_ONLY	קרוטונים מתובלים אסם
131	P_2253006	2253006	2253006	search	[A16, A160510, categories, A, A1605]	DICT9	LABEL_ONLY	שום כתוש דורות
132	P_7290018989364	7290018989364	7290018989364	search	[A16, A160510, categories, A, A1605]	DICT9	LABEL_ONLY	שום כתוש מוקפא
133	P_7296073124160	7296073124160	7296073124160	search	[A16, A160510, categories, A, A1605]	DICT9	LABEL_ONLY	שום כתוש קפוא במגשית
134	P_2253105	2253105	2253105	search	[A16, A160510, categories, A, A1605]	DICT9	LABEL_ONLY	שום כתוש קפוא במגשית
135	P_7296073124177	7296073124177	7296073124177	search	[A16, A160510, categories, A, A1605]	DICT9	LABEL_ONLY	שום כתוש קפוא בצנצנת
136	P_7296073497196	7296073497196	7296073497196	search	[A510102, A51, A221707, A2217, A22, categories, A5101, A]	DICT6	LABEL_ONLY	שעועית אדומה טטרה פק
137	P_7296073134930	7296073134930	7296073134930	search	[A2211, A22, categories, A, A221104]	DICT9	LABEL_ONLY	שעועית ארגנטינאית
138	P_7296073173229	7296073173229	7296073173229	search	[A160501, A510102, A51, A16, D, categories, A500701, A, A5101, A1605, A500901]	DICT6	LABEL_ONLY	שעועית ירוקה חתוכה
139	P_104720	104720	104720	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	שעועית ירוקה חתוכה
140	P_7296073173205	7296073173205	7296073173205	search	[A160501, A510102, A51, A16, D, categories, A500701, A, A5101, A1605, A500901]	DICT7	LABEL_ONLY	שעועית ירוקה עדינה
141	P_7290013994783	7290013994783	7290013994783	search	[A160501, A16, F11, F, A2820, categories, F1102, F110201, A28, A, A1605, A282002]	DICT10	LABEL_ONLY	שעועית ירוקה קפוא אורגני
142	P_7296073173212	7296073173212	7296073173212	search	[A160501, A510102, A51, A16, D, categories, A500701, A, A5101, A1605, A500901]	DICT6	LABEL_ONLY	שעועית ירוקה שלמה
143	P_104683	104683	104683	search	[A160501, A510102, A51, A16, categories, A, A5101, A1605]	DICT7	LABEL_ONLY	שעועית ירוקה שלמה מוקפאת
144	P_3643806	3643806	3643806	search	[A2211, A22, categories, A, A221104]	DICT6	LABEL_ONLY	שעועית לבנה
145	P_7296073733461	7296073733461	7296073733461	search	[A2211, A22, categories, A, A221104]	DICT8	LABEL_ONLY	שעועית לבנה
146	P_7296073733478	7296073733478	7296073733478	search	[A2211, A22, categories, A, A221104]	DICT6	LABEL_ONLY	שעועית לבנה
147	P_7296073005957	7296073005957	7296073005957	search	[A2211, A22, categories, A, A221104]	DICT7	LABEL_ONLY	שעועית לבנה
148	P_7296073006008	7296073006008	7296073006008	search	[A2211, A22, categories, A, A221104]	DICT7	LABEL_ONLY	שעועית לבנה
149	P_1990278	1990278	1990278	search	[A2211, A22, categories, A, A221104]	DICT5	LABEL_ONLY	שעועית לבנה
150	P_7296073497219	7296073497219	7296073497219	search	[A510102, A51, A221707, A2217, A22, categories, A5101, A]	DICT6	LABEL_ONLY	שעועית לבנה טטרה פק
151	P_104799	104799	104799	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	שעועית לבנה מבושלת מוקפא
152	P_7296073705512	7296073705512	7296073705512	search	[A160501, A16, categories, A, A1605]	DICT6	LABEL_ONLY	שעועית לבנה מוקפאת
153	P_7296073006077	7296073006077	7296073006077	search	[A2211, A22, categories, A, A221104]	DICT8	LABEL_ONLY	שעועית מעורבת שופרסל
154	P_7290011254018	7290011254018	7290011254018	search	[A2211, A22, categories, A, A221104]	DICT10	LABEL_ONLY	שעועית מש
155	P_104836	104836	104836	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	שעועית עדינה שלמה קפואה
156	P_104737	104737	104737	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	שעועית צהובה חתוכה
157	P_11182700954	11182700954	11182700954	search	[A221707, A2217, A22, categories, A]	DICT7	LABEL_ONLY	שעועית שחורה
158	P_7296073497226	7296073497226	7296073497226	search	[A510102, A51, A221707, A2217, A22, categories, A5101, A]	DICT7	LABEL_ONLY	שעועית שחורה טטרה פק
159	P_7296073445159	7296073445159	7296073445159	search	[A160501, A16, categories, A, A1605]	DICT7	LABEL_ONLY	תחתיות ארטישוק
160	P_976716	976716	976716	search	[A04, categories, A040210, A0402, A]	NONE	NONE	תירס
161	P_208312	208312	208312	search	[A221704, A24, A2217, A22, categories, A2416, A]	DICT8	LABEL_ONLY	תירס מתוק ארוז בואקום
162	P_7296073706274	7296073706274	7296073706274	search	[A2506, A04, A25, A040202, categories, A250607, A0402, A]	DICT8	LABEL_ONLY	תירס קלוי בקופסא
163	P_7296073750345	7296073750345	7296073750345	search	[A04, A0409, A0410, categories, A041001, A, A040904]	NONE	NONE	תרד עלים - מארז
